"device_info_serial";"date_time";"latitude";"longitude";"altitude";"pressure";"temperature";"satellites_used";"gps_fixtime";"positiondop";"h_accuracy";"v_accuracy";"x_speed";"y_speed";"z_speed";"speed_accuracy";"location";"userflag"
355;"2010-06-28 00:22:47";53.0036251;4.7379448;0;;18.6;6;13.1;3;3.3;6.4;-0.34;-0.05;-0.3;2.82;"0101000020E6100000570339CDA7F31240EDF88AC976804A40";0
355;"2010-06-28 00:27:58";52.9974383;4.7363665;19;;17.4;6;20;2.9;7.8;8.7;9.38;-2.92;-7.78;3.6;"0101000020E6100000DD7A4D0F0AF212409023E70EAC7F4A40";0
355;"2010-06-28 00:33:06";52.9954616;4.7334605;1;;19.7;5;23.8;2.3;4.3;4.6;-0.11;-0.25;0.16;9.84;"0101000020E610000098A1F14410EF1240403624496B7F4A40";0
355;"2010-06-28 00:38:01";52.9954518;4.7335039;4;;20.5;4;15;2.5;4.4;5.4;-0.08;-0.05;-0.1;3.17;"0101000020E61000002DF477A51BEF124046DFEEF66A7F4A40";0
355;"2010-06-28 00:43:30";52.9954078;4.733461;-6;;21;5;39.8;3.1;4.7;9.3;-0.84;-0.55;-0.75;4.17;"0101000020E6100000DA907F6610EF12407797D585697F4A40";0
355;"2010-06-28 00:48:25";52.9954109;4.7335709;-5;;21.3;5;15;4.4;7.8;8.1;-0.19;0.43;-0.19;3.62;"0101000020E61000006C30C3352DEF12407DCAD69F697F4A40";0
355;"2010-06-28 00:53:46";52.9953849;4.733579;-2;;21.6;5;16;4.6;8.4;9.2;0.68;0.19;0.06;4.13;"0101000020E6100000292158552FEF12405337BCC5687F4A40";0
355;"2010-06-28 00:58:53";52.9953951;4.7336156;-6;;21.2;5;18.9;4.7;6.8;8.1;-0.04;0.02;-0.03;0.44;"0101000020E6100000785787ED38EF1240A18C4C1B697F4A40";0
355;"2010-06-28 01:03:53";52.993956;4.7387056;0;;21;5;14.9;4.8;8;9.5;2.97;9.48;-1.7;4.26;"0101000020E6100000FD7CA53D6FF41240DCD440F3397F4A40";0
355;"2010-06-28 01:09:00";52.983187;4.7786081;-15;;18.2;5;17.9;4.8;9.7;11.7;3.88;8.07;-3.87;1.99;"0101000020E6100000509A17714B1D13401A6D5512D97D4A40";0
355;"2010-06-28 01:14:00";52.9777968;4.8009992;-5;;17.8;6;14;2.2;3.4;5.1;0.08;-0.61;-0.28;2.62;"0101000020E6100000187D60223934134015110F72287D4A40";0
355;"2010-06-28 01:19:04";52.9773531;4.7993742;-12;;19.2;6;13.9;2.5;5.4;5.3;-0.21;-0.03;-0.17;1.07;"0101000020E61000008D1079268F321340769208E8197D4A40";0
355;"2010-06-28 01:24:08";52.9770465;4.7977045;-9;;20;5;13.9;2.9;6.6;5.8;0.06;-0.24;-0.06;5.42;"0101000020E6100000F67CCD72D9301340EC1516DC0F7D4A40";0
355;"2010-06-28 01:29:12";52.9798922;4.8299176;-8;;17.7;6;13.9;2.6;6.4;5.7;-3.29;8.71;1.42;3.84;"0101000020E6100000CE7F59EBD5511340814D8C1B6D7D4A40";0
355;"2010-06-28 01:34:17";52.9798288;4.8304629;-8;;20.5;6;14.9;2.4;4.6;5.7;-0.12;-0.21;0.19;3.01;"0101000020E61000004F2AD0DD64521340E7D6B5076B7D4A40";0
